ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10222575,HY409193,01/01/2014 12:00:00 AM,077XX S YATES BLVD,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,0421,004,7,43,11,1193587,1853874,2014,09/10/2015 11:43:14 AM,41.753978266,-87.566132519,"(41.753978266, -87.566132519)"
9646650,HX297593,01/01/2014 12:00:00 AM,080XX S UNION AVE,0810,THEFT,OVER $500,RESIDENCE,false,false,0621,006,21,71,06,1172989,1851637,2014,06/11/2014 12:40:56 PM,41.748318902,-87.641682601,"(41.748318902, -87.641682601)"
10196111,HY383441,01/01/2014 12:00:00 AM,0000X W 108TH ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,false,false,0513,005,34,49,11,1177688,1833389,2014,08/17/2015 12:44:33 PM,41.698139062,-87.625014136,"(41.698139062, -87.625014136)"
9632140,HX281777,01/01/2014 12:00:00 AM,001XX W 124TH ST,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,RESIDENCE,false,false,0523,005,9,53,17,1177637,1822690,2014,05/31/2014 12:40:12 PM,41.66878055,-87.625522716,"(41.66878055, -87.625522716)"
9928958,HY117392,01/01/2014 12:00:00 AM,011XX E 73RD ST,1544,SEX OFFENSE,SEXUAL EXPLOITATION OF A CHILD,APARTMENT,false,false,0324,003,5,69,17,1184950,1856877,2014,01/22/2015 12:48:16 PM,41.762425783,-87.597689653,"(41.762425783, -87.597689653)"
9635906,HX286860,01/01/2014 12:00:00 AM,018XX N WILMOT AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,false,false,1434,014,32,22,11,1160952,1912483,2014,06/03/2014 12:44:29 PM,41.915544239,-87.684105372,"(41.915544239, -87.684105372)"
9915203,HY104897,01/01/2014 12:00:00 AM,040XX N KEYSTONE AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,false,false,1722,017,39,16,11,1148530,1926485,2014,01/08/2015 12:39:18 PM,41.95421591,-87.72938061,"(41.95421591, -87.72938061)"
9559785,HX210852,01/01/2014 12:00:00 AM,006XX E 89TH PL,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,false,true,0633,006,6,44,02,1182182,1845738,2014,04/18/2014 12:39:21 AM,41.731923661,-87.608178725,"(41.731923661, -87.608178725)"
9856534,HX499835,01/01/2014 12:00:00 AM,081XX S MARSHFIELD AVE,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,RESIDENCE,false,true,0614,006,21,71,17,1166806,1850438,2014,12/04/2014 12:43:35 PM,41.745162828,-87.664373395,"(41.745162828, -87.664373395)"
9555322,HX207374,01/01/2014 12:00:00 AM,009XX W BELDEN AVE,0810,THEFT,OVER $500,"SCHOOL, PRIVATE, GROUNDS",false,false,1812,018,43,7,06,1169872,1915526,2014,04/04/2014 12:38:54 AM,41.923704424,-87.651245308,"(41.923704424, -87.651245308)"
9707621,HX357597,01/01/2014 12:00:00 AM,057XX N MASON AVE,5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,APARTMENT,false,true,1622,016,45,11,26,1135619,1938068,2014,07/24/2014 12:40:50 PM,41.986240604,-87.776567139,"(41.986240604, -87.776567139)"
9550450,HX202142,01/01/2014 12:00:00 AM,132XX S LANGLEY AVE,1753,OFFENSE INVOLVING CHILDREN,SEX ASSLT OF CHILD BY FAM MBR,CHA APARTMENT,false,true,0533,005,9,54,02,1183290,1817873,2014,04/03/2014 12:40:46 AM,41.655432714,-87.604982886,"(41.655432714, -87.604982886)"
9728010,HX375272,01/01/2014 12:00:00 AM,037XX W 55TH ST,0266,CRIM SEXUAL ASSAULT,PREDATORY,DAY CARE CENTER,false,false,0822,008,23,62,02,1152508,1867835,2014,09/11/2014 12:39:33 PM,41.793196055,-87.716306759,"(41.793196055, -87.716306759)"
9598770,HX249314,01/01/2014 12:00:00 AM,014XX W 78TH ST,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,RESIDENCE,false,false,0612,006,17,71,17,1167738,1852975,2014,05/07/2014 12:40:24 AM,41.752104777,-87.660885741,"(41.752104777, -87.660885741)"
9759504,HX401626,01/01/2014 12:00:00 AM,048XX W WARWICK AVE,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,false,false,1634,016,45,15,02,1143511,1924456,2014,09/11/2014 12:39:33 PM,41.948743732,-87.747882277,"(41.948743732, -87.747882277)"
9593821,HX243996,01/01/2014 12:00:00 AM,026XX N HAMLIN AVE,0266,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,false,true,2524,025,35,22,02,1150643,1917217,2014,05/04/2014 12:39:40 AM,41.928742654,-87.721855919,"(41.928742654, -87.721855919)"
9728020,HX375274,01/01/2014 12:00:00 AM,037XX W 55TH ST,0266,CRIM SEXUAL ASSAULT,PREDATORY,DAY CARE CENTER,false,false,0822,008,23,62,02,1152508,1867835,2014,09/11/2014 12:39:33 PM,41.793196055,-87.716306759,"(41.793196055, -87.716306759)"
9542151,HX195782,01/01/2014 12:00:00 AM,007XX W 30TH ST,1261,DECEPTIVE PRACTICE,UNAUTHORIZED VIDEOTAPING,RESIDENCE,false,false,0914,009,11,60,11,1171879,1885037,2014,04/04/2014 12:38:54 AM,41.839996546,-87.644769718,"(41.839996546, -87.644769718)"
